UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,29,4535992,2300927,2235065,1661647,1594419,359010,357079,33827,33107,160968,165259,6578,6642,78897,78559,1731964,1664358,395313,394397,56832,56009,190157,193617,13530,13352,1790984,1746189,1215449,1167494,333372,332432,18755,18332,156022,160306,4845,4910,62541,62715,1271146,1223307,362245,362416,34700,34447,180821,184380,10275,10162,509943,488876,446198,426925,25638,24647,15072,14775,4946,4953,1733,1732,16356,15844,460818,441051,33068,31981,22132,21562,9336,9237,3255,3190
R,7,2023,30,4606983,2336026,2270957,1683226,1616817,370641,367000,35181,33826,164509,170894,6852,6692,75617,75728,1750394,1683985,404675,402169,57828,56608,192800,198482,13587,13339,1822775,1782032,1234207,1189412,344413,342338,19466,19086,159651,165911,5010,4936,60028,60349,1287515,1242918,371343,370312,35213,35128,183886,189490,10343,10163,513251,488925,449019,427405,26228,24662,15715,14740,4858,4983,1842,1756,15589,15379,462879,441067,33332,31857,22615,21480,8914,8992,3244,3176
R,7,2023,31,4708628,2380812,2327816,1717694,1656930,375232,376381,36391,34418,170295,178083,7144,6843,74056,75161,1783050,1723108,407228,410295,59315,57066,198501,206508,14023,13719,1861244,1834351,1263648,1226578,348554,350319,20231,19654,165317,172935,5136,5064,58358,59801,1315075,1279230,373394,377079,36181,35626,189467,197225,10587,10413,519568,493465,454046,430352,26678,26062,16160,14764,4978,5148,2008,1779,15698,15360,467975,443878,33834,33216,23134,21440,9034,9283,3436,3306
R,7,2023,32,4775545,2409471,2366074,1739955,1683226,376935,382170,36213,33696,177909,186596,7767,7235,70692,73151,1801448,1746984,406792,415035,58135,55631,206001,215075,14834,14281,1893601,1881991,1290754,1262965,349521,355266,19914,19381,172611,181139,5662,5390,55139,57850,1338503,1313240,372311,380959,34930,34692,196652,205418,11232,11014,515870,484083,449201,420261,27414,26904,16299,14315,5298,5457,2105,1845,15553,15301,462945,433744,34481,34076,23205,20939,9349,9657,3602,3267
R,7,2023,33,4785137,2412004,2373133,1749592,1692063,371097,380486,35761,33019,181572,191038,7935,7295,66047,69232,1807217,1752515,398250,410931,56178,54226,208306,217915,14546,13930,1898157,1896639,1301381,1278424,344033,353505,19376,19045,176263,185757,5727,5466,51377,54442,1345989,1325773,364552,376966,33321,33740,199168,208784,10948,10753,513847,476494,448211,413639,27064,26981,16385,13974,5309,5281,2208,1829,14670,14790,461228,426742,33698,33965,22857,20486,9138,9131,3598,3177
R,7,2023,34,4647863,2344976,2302887,1708585,1644019,350135,362592,34556,31506,182264,193168,7737,6962,61699,64640,1762385,1700310,375052,390542,54026,51235,207198,218775,13911,13250,1849272,1847540,1276074,1248398,324235,336731,18455,18051,177194,187951,5726,5274,47588,51135,1317391,1292729,342665,358362,31532,31866,198574,210022,10657,10305,495704,455347,432511,395621,25900,25861,16101,13455,5070,5217,2011,1688,14111,13505,444994,407581,32387,32180,22494,19369,8624,8753,3254,2945
R,7,2023,35,4562605,2301606,2260999,1693729,1629331,329663,343396,34029,30970,177925,188883,7729,6893,58531,61526,1744561,1682975,352648,369755,52424,49881,202116,213337,13837,12955,1805173,1809821,1259039,1236828,304836,318186,17889,17446,173012,183958,5607,5220,44790,48183,1297734,1278724,321612,338146,30031,30506,193744,204961,10434,10101,496433,451178,434690,392503,24827,25210,16140,13524,4913,4925,2122,1673,13741,13343,446827,404251,31036,31609,22393,19375,8372,8376,3403,2854
R,7,2023,36,4508995,2278841,2230154,1690082,1615326,318049,332521,32962,29950,175132,185934,7614,6845,55002,59578,1737898,1667294,339599,357690,50638,48728,197708,209606,13273,12631,1787331,1783347,1258503,1225996,293886,307952,17283,16857,170219,181128,5462,5078,41978,46336,1294742,1266229,309461,326860,29009,29722,189622,201484,10021,9699,491510,446807,431579,389330,24163,24569,15679,13093,4913,4806,2152,1767,13024,13242,443156,401065,30138,30830,21629,19006,8086,8122,3252,2932
R,7,2023,37,4515300,2283377,2231923,1703500,1625430,310660,327266,32604,29751,175214,185748,7756,6968,53643,56760,1750072,1674619,331133,350792,50102,48102,197270,208352,13482,12693,1787675,1785609,1267999,1235713,286416,302861,16564,16540,170320,181045,5540,5281,40836,44169,1303244,1273787,301079,320523,28160,29295,189207,200406,10119,9895,495702,446314,435501,389717,24244,24405,16040,13211,4894,4703,2216,1687,12807,12591,446828,400832,30054,30269,21942,18807,8063,7946,3363,2798
R,7,2023,38,4508193,2276417,2231776,1705377,1629121,305898,323818,31819,29403,174029,186782,7631,6901,51663,55751,1750197,1677503,325270,346251,49052,47768,195266,209278,13232,12581,1782103,1786064,1270359,1239640,282338,299571,16107,16377,169190,182177,5412,5246,38697,43053,1303647,1276796,295875,316002,27338,29065,187283,201505,9851,9810,494314,445712,435018,389481,23560,24247,15712,13026,4839,4605,2219,1655,12966,12698,446550,400707,29395,30249,21714,18703,7983,7773,3381,2771
